T,M,d,K,L,u,time simu,ref_value
0.5,5.0,5.0,1.0,4.0,15.014166995524135,0.006319171,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.869096094972866,0.00663904,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.882168101312473,0.007939462,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.631585575249986,0.010356437,15.153515465455879
0.5,5.0,5.0,1.0,4.0,14.81822659387492,0.010500966,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.925870051527422,0.509547217,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.858685438498572,0.547306646,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.788906837010435,0.492612991,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.758620880255048,0.474523241,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.973873241361982,0.33392873,15.153515465455879
0.5,5.0,5.0,9.0,4.0,15.033410306076439,3.075004054,15.153515465455879
0.5,5.0,5.0,9.0,4.0,14.838960447732482,3.157554289,15.153515465455879
0.5,5.0,5.0,9.0,4.0,14.87508332378636,2.934967089,15.153515465455879
0.5,5.0,5.0,9.0,4.0,14.887041702619877,3.00363483,15.153515465455879
0.5,5.0,5.0,9.0,4.0,14.89916358244857,3.015576287,15.153515465455879
0.5,5.0,5.0,13.0,4.0,14.858958846988932,10.325821254,15.153515465455879
0.5,5.0,5.0,13.0,4.0,14.92531786853256,9.956761619,15.153515465455879
0.5,5.0,5.0,13.0,4.0,14.939529579187933,10.543350144,15.153515465455879
0.5,5.0,5.0,13.0,4.0,14.78599426461383,10.620098695,15.153515465455879
0.5,5.0,5.0,13.0,4.0,14.781354876893777,11.347942307,15.153515465455879
0.5,5.0,5.0,17.0,4.0,14.675338712708058,24.743170013,15.153515465455879
0.5,5.0,5.0,17.0,4.0,14.920314488738985,25.229392189,15.153515465455879
0.5,5.0,5.0,17.0,4.0,14.893244410777177,27.729952847,15.153515465455879
0.5,5.0,5.0,17.0,4.0,14.977518221155284,26.962136984,15.153515465455879
0.5,5.0,5.0,17.0,4.0,14.932891395367148,25.116041011,15.153515465455879
