T,N,d,batch_size,hls,K,nhlayers,u,time simu,ref_value
1.0,2.0,5.0,1000.0,55.0,3.0,-1.0,2.403379440307617,7.92096063,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,-1.0,2.3977670669555664,4.18539447,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,-1.0,2.3835337162017822,4.002807122,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,-1.0,2.3855204582214355,4.161027694,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,-1.0,2.4063098430633545,3.999217012,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,0.0,11.21749210357666,6.744495477,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,0.0,11.267533302307129,4.836381661,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,0.0,11.270541191101074,4.999098351,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,0.0,11.375751495361328,4.814251972,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,0.0,11.28514575958252,4.824803571,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.148999214172363,5.669033729,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.41966438293457,5.664125935,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.265854835510254,5.673671077,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.0794095993042,5.663447849,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,1.0,11.450928688049316,5.660424437,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,2.0,11.398521423339844,8.912234343,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,2.0,11.245707511901855,6.529475908,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,2.0,11.423376083374023,6.516225613,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,2.0,11.219724655151367,6.503373926,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,2.0,11.262324333190918,6.501411238,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,3.0,10.9891996383667,9.818741899,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,3.0,11.565893173217773,7.338886686,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,3.0,11.27432632446289,7.332909085,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,3.0,11.38446044921875,7.3635551,12.959096286561797
1.0,2.0,5.0,1000.0,55.0,3.0,3.0,10.981035232543945,7.176210313,12.959096286561797
