T,N,d,batch_size,K,L1_err,time simu
0.2,2.0,5.0,50.0,1.0,0.15238544252946268,40.117911903
0.2,2.0,5.0,50.0,1.0,0.1407825793886416,40.186010704
0.2,2.0,5.0,50.0,1.0,0.14637058681123163,40.381769499
0.2,2.0,5.0,50.0,1.0,0.24018395963065325,40.187734373
0.2,2.0,5.0,50.0,1.0,0.1427311913666016,40.188919015
0.2,2.0,5.0,50.0,2.0,0.14532337748502988,41.24445156
0.2,2.0,5.0,50.0,2.0,0.1517370990725055,41.27365694
0.2,2.0,5.0,50.0,2.0,0.155842257484743,41.016396133
0.2,2.0,5.0,50.0,2.0,0.17967591470222669,41.247466414
0.2,2.0,5.0,50.0,2.0,0.16022077835250892,41.265761786
0.2,2.0,5.0,50.0,3.0,0.157571121135414,41.020141413
0.2,2.0,5.0,50.0,3.0,0.1758624790466787,41.261875751
0.2,2.0,5.0,50.0,3.0,0.1677166014294216,41.273293882
0.2,2.0,5.0,50.0,3.0,0.2023128572586268,41.060986778
0.2,2.0,5.0,50.0,3.0,0.14470981659364354,41.284259702
0.2,2.0,5.0,50.0,4.0,0.14327419916672038,41.47710629
0.2,2.0,5.0,50.0,4.0,0.15962547084930426,41.290362344
0.2,2.0,5.0,50.0,4.0,0.1532061966865099,41.518335243
0.2,2.0,5.0,50.0,4.0,0.14665007964254986,41.53324017
0.2,2.0,5.0,50.0,4.0,0.15002986461329906,41.564555981
0.2,2.0,5.0,50.0,5.0,0.14106364488332657,41.365773901
0.2,2.0,5.0,50.0,5.0,0.1584484551555048,41.582426238
0.2,2.0,5.0,50.0,5.0,0.19061003830487688,41.622224692
0.2,2.0,5.0,50.0,5.0,0.1740647649037056,41.59717431
0.2,2.0,5.0,50.0,5.0,0.24324283947430755,41.391292576
