d,T,N,L1,time_simu
1.0,0.1,10.0,0.009668748934206413,56.82927253
1.0,0.1,10.0,0.011013086840488573,56.846164995
1.0,0.1,10.0,0.005039084547584562,56.971935117
1.0,0.1,10.0,0.01073203118872334,57.199725793
1.0,0.1,10.0,0.007972185295710909,57.277381945
2.0,0.1,10.0,0.015661985986129074,59.727915796
2.0,0.1,10.0,0.024377334431897716,59.757969523
2.0,0.1,10.0,0.016271886002242823,59.876803201
2.0,0.1,10.0,0.014371160683881822,59.967470336
2.0,0.1,10.0,0.015115065624219198,60.045231605
5.0,0.1,10.0,0.07369861894261116,58.545419455
5.0,0.1,10.0,0.075859859428719,58.658147079
5.0,0.1,10.0,0.11324683909917337,58.690881468
5.0,0.1,10.0,0.07538033813600281,58.721594278
5.0,0.1,10.0,0.0750011108603577,58.791005265
10.0,0.1,10.0,0.40951478677188224,59.626161226
10.0,0.1,10.0,0.46477240766806976,59.604681667
10.0,0.1,10.0,0.42199838566903647,59.573362016
10.0,0.1,10.0,0.47061509645868055,59.757744081
10.0,0.1,10.0,0.40985018510281446,59.617938948
1.0,0.2,10.0,0.012078383413700568,58.26724683
1.0,0.2,10.0,0.004581083792941736,58.384788686
1.0,0.2,10.0,0.00851154647099374,58.295792144
1.0,0.2,10.0,0.015517686341339994,58.416548806
1.0,0.2,10.0,0.013513173345908576,58.425593495
2.0,0.2,10.0,0.02153588544404913,60.547008215
2.0,0.2,10.0,0.02014126420098581,60.583268581
2.0,0.2,10.0,0.011096662036327521,60.644415629
2.0,0.2,10.0,0.020876614044067356,60.896673001
2.0,0.2,10.0,0.01707090786983786,60.715213452
5.0,0.2,10.0,0.0841244049282102,59.320862962
5.0,0.2,10.0,0.08396065100160682,59.39020371
5.0,0.2,10.0,0.07789890937600243,59.42505481
5.0,0.2,10.0,0.0811714239098403,59.473582182
5.0,0.2,10.0,0.08293215122885163,59.543446093
10.0,0.2,10.0,0.3623426191597254,60.127088475
10.0,0.2,10.0,0.4157087973109949,60.14615738
10.0,0.2,10.0,0.38261131838387913,60.237429141
10.0,0.2,10.0,0.3934884320884091,60.116859569
10.0,0.2,10.0,0.43793562969970984,60.329916668
1.0,0.5,10.0,0.007025534086372056,58.975975871
1.0,0.5,10.0,0.013026727553573253,59.002393041
1.0,0.5,10.0,0.01060766254264338,59.052655478
1.0,0.5,10.0,0.011090718843870454,59.0109701
1.0,0.5,10.0,0.016546881774679036,59.0104506
2.0,0.5,10.0,0.010545405951235456,61.103602862
2.0,0.5,10.0,0.015348993495448408,61.201914488
2.0,0.5,10.0,0.022255194505042646,61.191977941
2.0,0.5,10.0,0.018478466290534467,61.129069743
2.0,0.5,10.0,0.026217155778231145,61.194815656
5.0,0.5,10.0,0.07422184676428312,60.072164459
5.0,0.5,10.0,0.078120132270694,60.013584967
5.0,0.5,10.0,0.07577461858514992,60.010539061
5.0,0.5,10.0,0.07990724469240873,60.020759751
5.0,0.5,10.0,0.06769784234896524,59.956746681
10.0,0.5,10.0,0.35798143074483063,60.636575659
10.0,0.5,10.0,0.32828391635379794,60.573017933
10.0,0.5,10.0,0.3691608644861931,60.649311796
10.0,0.5,10.0,0.3620986042256274,60.737199164
10.0,0.5,10.0,0.35382764758758245,60.717629002
1.0,0.1,10.0,0.011128293829580417,59.702610454
1.0,0.1,10.0,0.01471232785060897,59.643447627
1.0,0.1,10.0,0.014955642052513317,59.714537502
1.0,0.1,10.0,0.011364341198851555,59.680300643
1.0,0.1,10.0,0.011999185027910031,59.741237149
2.0,0.1,10.0,0.021081192310782114,61.588023522
2.0,0.1,10.0,0.018483068066120493,61.566760927
2.0,0.1,10.0,0.028351312336078426,61.600829025
2.0,0.1,10.0,0.020444122941916575,61.649328399
2.0,0.1,10.0,0.01429633534702077,61.707359033
5.0,0.1,10.0,0.07900405476705594,60.358509718
5.0,0.1,10.0,0.08349873341977303,60.22641132
5.0,0.1,10.0,0.09160979236100973,60.330632604
5.0,0.1,10.0,0.07734494301012514,60.278698822
5.0,0.1,10.0,0.07506765152089366,60.364088457
10.0,0.1,10.0,0.4446883297961035,60.729547216
10.0,0.1,10.0,0.40790060515614096,60.89276604
10.0,0.1,10.0,0.5109994463978474,60.985157254
10.0,0.1,10.0,0.43921925391525085,60.951516931
10.0,0.1,10.0,0.4927173701287067,60.999676143
1.0,0.2,10.0,0.004063791243796928,60.078810532
1.0,0.2,10.0,0.012510524102070425,60.182165189
1.0,0.2,10.0,0.012515349087196308,60.109724649
1.0,0.2,10.0,0.015097309134664248,60.218905595
1.0,0.2,10.0,0.011910410425057406,60.237980869
2.0,0.2,10.0,0.013304958321553793,61.998986476
2.0,0.2,10.0,0.020660122654007154,62.010471348
2.0,0.2,10.0,0.020163166652808883,62.003478975
2.0,0.2,10.0,0.01799486295459707,62.029246326
2.0,0.2,10.0,0.008632852495485826,62.028704815
5.0,0.2,10.0,0.06672575866864369,60.587207424
5.0,0.2,10.0,0.07912913660388629,60.737627709
5.0,0.2,10.0,0.09308967279851134,60.823399252
5.0,0.2,10.0,0.10311381599038079,60.71582616
5.0,0.2,10.0,0.07421591820721417,60.750726887
10.0,0.2,10.0,0.3777771259430199,61.104684737
10.0,0.2,10.0,0.4400461874874963,61.14152037
10.0,0.2,10.0,0.41893728122472573,61.218761299
10.0,0.2,10.0,0.37650207500468985,61.16786784
10.0,0.2,10.0,0.4248609673613016,61.192798448
1.0,0.5,10.0,0.014432404105400537,60.30083501
1.0,0.5,10.0,0.01626521081142596,60.201798667
1.0,0.5,10.0,0.011116072616438755,60.401200404
1.0,0.5,10.0,0.012705692328252529,60.403999089
1.0,0.5,10.0,0.02285067686449461,60.27801813
2.0,0.5,10.0,0.015277552330307293,62.421411099
2.0,0.5,10.0,0.012753060560676762,62.277914736
2.0,0.5,10.0,0.03371319597141395,62.284143002
2.0,0.5,10.0,0.015990810286951714,62.266550873
2.0,0.5,10.0,0.02732227798969707,62.299764626
5.0,0.5,10.0,0.07810362916183432,60.96629753
5.0,0.5,10.0,0.09911260568513797,61.031303778
5.0,0.5,10.0,0.07069388341878624,61.047225008
5.0,0.5,10.0,0.08088503793730462,60.970581022
5.0,0.5,10.0,0.07192127415715165,61.049383663
10.0,0.5,10.0,0.3665931825579956,61.368781798
10.0,0.5,10.0,0.3734478443913288,61.517781942
10.0,0.5,10.0,0.3495394445200351,61.385161595
10.0,0.5,10.0,0.3395403292075001,61.53925662
10.0,0.5,10.0,0.3595940279825961,61.597973724
