T,N,d,batch_size,K,L1_err,time simu
0.2,2.0,5.0,10.0,3.0,0.22560790573618747,40.403612224
0.2,2.0,5.0,10.0,3.0,0.3150962440657552,40.232779622
0.2,2.0,5.0,10.0,3.0,0.25304071474214673,40.278713529
0.2,2.0,5.0,10.0,3.0,0.25991561656305534,40.418224704
0.2,2.0,5.0,10.0,3.0,0.3103473421928503,40.315144515
0.2,2.0,5.0,100.0,3.0,0.12688230360270164,41.1500125
0.2,2.0,5.0,100.0,3.0,0.13689564156818382,40.957398319
0.2,2.0,5.0,100.0,3.0,0.16122425962759396,41.123711558
0.2,2.0,5.0,100.0,3.0,0.14289337782797945,40.952056307
0.2,2.0,5.0,100.0,3.0,0.1367490132458965,41.075108327
0.2,2.0,5.0,1000.0,3.0,0.0868563789899255,43.317666066
0.2,2.0,5.0,1000.0,3.0,0.08666449335920352,43.353342557
0.2,2.0,5.0,1000.0,3.0,0.10305416925368498,44.897422041
0.2,2.0,5.0,1000.0,3.0,0.08247381881889822,43.653589947
0.2,2.0,5.0,1000.0,3.0,0.08435156300022731,43.403695434
0.2,2.0,5.0,10000.0,3.0,0.05360637383402559,45.386832951
0.2,2.0,5.0,10000.0,3.0,0.0625466032228536,45.512144155
0.2,2.0,5.0,10000.0,3.0,0.05451368575701126,45.433466589
0.2,2.0,5.0,10000.0,3.0,0.052465408198957106,45.411919426
0.2,2.0,5.0,10000.0,3.0,0.05131588001250468,45.307649592
