T,N,d,batch_size,K,L1_err,time simu
5.0,1.0,5.0,8000.0,3.0,0.16112702996388092,20.378810662
5.0,1.0,5.0,8000.0,3.0,0.14586625839863854,20.349061503
5.0,1.0,5.0,8000.0,3.0,0.16433286147549364,20.294146776
5.0,1.0,5.0,8000.0,3.0,0.1755004549902796,20.49139744
5.0,1.0,5.0,8000.0,3.0,0.17293001524453303,20.518587766
5.0,2.0,5.0,8000.0,3.0,0.21294507387244058,44.168296629
5.0,2.0,5.0,8000.0,3.0,0.21617692480591966,44.066342085
5.0,2.0,5.0,8000.0,3.0,0.17639255068656448,44.526235186
5.0,2.0,5.0,8000.0,3.0,0.21430550350238994,44.407714254
5.0,2.0,5.0,8000.0,3.0,0.2416742351973393,44.311764428
5.0,3.0,5.0,8000.0,3.0,0.237048413827932,67.930605197
5.0,3.0,5.0,8000.0,3.0,0.2048363961926805,68.174811373
5.0,3.0,5.0,8000.0,3.0,0.22295585540398005,68.489347631
5.0,3.0,5.0,8000.0,3.0,0.2543742009634261,68.542949676
5.0,3.0,5.0,8000.0,3.0,0.2035599970706113,70.152655072
5.0,4.0,5.0,8000.0,3.0,0.2100503167303848,93.306142677
5.0,4.0,5.0,8000.0,3.0,0.2038133991834593,93.341772107
5.0,4.0,5.0,8000.0,3.0,0.21897902907803893,93.428966371
5.0,4.0,5.0,8000.0,3.0,0.269923078632067,93.576291396
5.0,4.0,5.0,8000.0,3.0,0.1886713055447076,93.769560504
5.0,5.0,5.0,8000.0,3.0,0.22245325222547255,117.925728736
5.0,5.0,5.0,8000.0,3.0,0.16653279143964736,118.194732448
5.0,5.0,5.0,8000.0,3.0,0.22429602747120286,118.275151034
5.0,5.0,5.0,8000.0,3.0,0.22346143597284926,118.353265947
5.0,5.0,5.0,8000.0,3.0,0.19361165154843443,118.83782143
