T,N,d,batch_size,K,u,time simu,ref_value
0.2,1.0,5.0,200.0,3.0,0.0,114.892309108,16.801556694196968
0.2,1.0,5.0,200.0,3.0,0.0,2.065476749,16.801556694196968
0.2,1.0,5.0,200.0,3.0,0.0,2.04066004,16.801556694196968
0.2,1.0,5.0,200.0,3.0,0.0,2.146006996,16.801556694196968
0.2,1.0,5.0,200.0,3.0,0.0,2.03064646,16.801556694196968
0.2,2.0,5.0,200.0,3.0,16.327802658081055,6.196097433,16.801556694196968
0.2,2.0,5.0,200.0,3.0,16.486766815185547,4.725546993,16.801556694196968
0.2,2.0,5.0,200.0,3.0,16.410470962524414,4.636154098,16.801556694196968
0.2,2.0,5.0,200.0,3.0,16.305360794067383,4.64896589,16.801556694196968
0.2,2.0,5.0,200.0,3.0,16.315250396728516,4.662682406,16.801556694196968
0.2,3.0,5.0,200.0,3.0,16.394681930541992,7.22803989,16.801556694196968
0.2,3.0,5.0,200.0,3.0,16.393592834472656,7.20996906,16.801556694196968
0.2,3.0,5.0,200.0,3.0,16.395240783691406,7.212144217,16.801556694196968
0.2,3.0,5.0,200.0,3.0,16.4445858001709,7.228028269,16.801556694196968
0.2,3.0,5.0,200.0,3.0,16.260984420776367,7.235482482,16.801556694196968
0.2,4.0,5.0,200.0,3.0,16.3189754486084,9.815084249,16.801556694196968
0.2,4.0,5.0,200.0,3.0,16.297386169433594,9.884447123,16.801556694196968
0.2,4.0,5.0,200.0,3.0,16.326169967651367,9.895759433,16.801556694196968
0.2,4.0,5.0,200.0,3.0,16.36248779296875,9.925269041,16.801556694196968
0.2,4.0,5.0,200.0,3.0,16.38528823852539,9.938332771,16.801556694196968
0.2,5.0,5.0,200.0,3.0,16.353023529052734,12.565889932,16.801556694196968
0.2,5.0,5.0,200.0,3.0,16.280515670776367,12.442212365,16.801556694196968
0.2,5.0,5.0,200.0,3.0,16.419530868530273,12.502302106,16.801556694196968
0.2,5.0,5.0,200.0,3.0,16.372901916503906,12.627270432,16.801556694196968
0.2,5.0,5.0,200.0,3.0,16.46940803527832,12.671508541,16.801556694196968
