T,M,d,K,L,u,time simu,ref_value
0.5,1.0,5.0,5.0,4.0,17.83172408315093,2.854011607,15.153515465455879
0.5,1.0,5.0,5.0,4.0,15.321223629121635,0.002612972,15.153515465455879
0.5,1.0,5.0,5.0,4.0,13.581276694787816,0.002721122,15.153515465455879
0.5,1.0,5.0,5.0,4.0,13.969483793295316,0.002422823,15.153515465455879
0.5,1.0,5.0,5.0,4.0,16.641976437313847,0.002884792,15.153515465455879
0.5,2.0,5.0,5.0,4.0,14.828027518508556,0.023423141,15.153515465455879
0.5,2.0,5.0,5.0,4.0,14.240389069823086,0.02387284,15.153515465455879
0.5,2.0,5.0,5.0,4.0,15.097999801991136,0.022579584,15.153515465455879
0.5,2.0,5.0,5.0,4.0,14.26775092363467,0.022710564,15.153515465455879
0.5,2.0,5.0,5.0,4.0,14.728236999031015,0.024615909,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.322421252671694,0.067801442,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.642551747176022,0.137696497,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.899471805605337,0.035345967,15.153515465455879
0.5,3.0,5.0,5.0,4.0,14.678606070451478,0.065964527,15.153515465455879
0.5,3.0,5.0,5.0,4.0,15.069064644116809,0.11645393,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.778648779830043,0.187358991,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.701997094941886,0.207173904,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.792662039259763,0.219572127,15.153515465455879
0.5,4.0,5.0,5.0,4.0,15.042616150086165,0.189383636,15.153515465455879
0.5,4.0,5.0,5.0,4.0,14.96774811508997,0.104645833,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.812791496437502,0.645145962,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.75070854049172,0.500133286,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.864367670587812,0.494616291,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.908086048934997,0.462515806,15.153515465455879
0.5,5.0,5.0,5.0,4.0,14.960335526593873,0.412364303,15.153515465455879
