T,U,M,d,K,L,u,time simu,ref_value
1.0,1.0,1.0,5.0,5.0,1.0,10.754642902661821,0.002505102,12.959096826267263
1.0,1.0,1.0,5.0,5.0,1.0,14.386295150135343,0.000969367,12.959096826267263
1.0,1.0,1.0,5.0,5.0,1.0,9.56676123725436,0.001121116,12.959096826267263
1.0,1.0,1.0,5.0,5.0,1.0,12.411407918319712,0.003952307,12.959096826267263
1.0,1.0,1.0,5.0,5.0,1.0,11.438772181070771,0.003847348,12.959096826267263
1.0,1.0,2.0,5.0,5.0,2.0,11.28246958258796,0.000578378,12.959096826267263
1.0,1.0,2.0,5.0,5.0,2.0,14.553311804538021,0.004042016,12.959096826267263
1.0,1.0,2.0,5.0,5.0,2.0,11.759573831769863,0.003950707,12.959096826267263
1.0,1.0,2.0,5.0,5.0,2.0,11.121719264362898,0.003892808,12.959096826267263
1.0,1.0,2.0,5.0,5.0,2.0,14.404799739333814,0.003893028,12.959096826267263
1.0,1.0,3.0,5.0,5.0,3.0,16.767417437742434,0.003864728,12.959096826267263
1.0,1.0,3.0,5.0,5.0,3.0,11.045048578638188,0.003858517,12.959096826267263
1.0,1.0,3.0,5.0,5.0,3.0,11.597711758188948,0.004028207,12.959096826267263
1.0,1.0,3.0,5.0,5.0,3.0,10.67610001424425,0.003842268,12.959096826267263
1.0,1.0,3.0,5.0,5.0,3.0,10.932317442395707,0.003872577,12.959096826267263
1.0,1.0,4.0,5.0,5.0,4.0,12.769658797166787,0.133758263,12.959096826267263
1.0,1.0,4.0,5.0,5.0,4.0,12.56183829339491,0.231683451,12.959096826267263
1.0,1.0,4.0,5.0,5.0,4.0,11.8605994051371,0.245087477,12.959096826267263
1.0,1.0,4.0,5.0,5.0,4.0,12.199610776612094,0.224333263,12.959096826267263
1.0,1.0,4.0,5.0,5.0,4.0,13.555943246600966,0.20959856,12.959096826267263
1.0,1.0,5.0,5.0,5.0,5.0,13.328446610211145,19.605528589,12.959096826267263
1.0,1.0,5.0,5.0,5.0,5.0,12.881154487862087,18.458491937,12.959096826267263
1.0,1.0,5.0,5.0,5.0,5.0,12.72900924338557,18.836683875,12.959096826267263
1.0,1.0,5.0,5.0,5.0,5.0,13.057798385938245,19.910680767,12.959096826267263
1.0,1.0,5.0,5.0,5.0,5.0,12.999980475955596,20.508295679,12.959096826267263
