d,T,N,L2,time_simu
1.0,0.1,10.0,0.007883799286320691,58.272808704
1.0,0.1,10.0,0.009041604279175086,58.314735835
1.0,0.1,10.0,0.006551684669471758,58.518861436
1.0,0.1,10.0,0.0032323081960767626,58.72704815
1.0,0.1,10.0,0.009317386014581324,58.928679649
2.0,0.1,10.0,0.011167758809503369,60.465915959
2.0,0.1,10.0,0.011636580157853222,60.433776147
2.0,0.1,10.0,0.00795568168128738,60.618931275
2.0,0.1,10.0,0.016951550174997897,60.763949828
2.0,0.1,10.0,0.01215080497569028,61.058417467
5.0,0.1,10.0,0.03414838940885927,59.764799474
5.0,0.1,10.0,0.031599354859584844,60.043985022
5.0,0.1,10.0,0.04198227842524741,59.997983928
5.0,0.1,10.0,0.04842286218485954,60.253725538
5.0,0.1,10.0,0.03147737410309479,60.355402202
10.0,0.1,10.0,0.00875195707843348,60.202542718
10.0,0.1,10.0,0.0023660559297503177,60.127258301
10.0,0.1,10.0,0.04966896236529247,60.423425591
10.0,0.1,10.0,0.004772056415763218,60.306438445
10.0,0.1,10.0,0.03546332952301309,60.356280932
1.0,0.2,10.0,0.009135810583680288,60.124804362
1.0,0.2,10.0,0.010381591495690219,60.016185046
1.0,0.2,10.0,0.004688915100055984,60.040669446
1.0,0.2,10.0,0.017063511511437163,60.181019399
1.0,0.2,10.0,0.017472519430046216,60.111959135
2.0,0.2,10.0,0.012732557806558123,61.647242449
2.0,0.2,10.0,0.011091649673492411,61.817026655
2.0,0.2,10.0,0.010837293297700371,61.770781832
2.0,0.2,10.0,0.008544397712772041,61.622519775
2.0,0.2,10.0,0.013264253045243878,61.878240384
5.0,0.2,10.0,0.04976069234231797,60.932546992
5.0,0.2,10.0,0.02767358264169967,61.060540711
5.0,0.2,10.0,0.02649752419325706,61.072102533
5.0,0.2,10.0,0.058073999250565875,61.052739079
5.0,0.2,10.0,0.043961066826667755,61.011347431
10.0,0.2,10.0,0.009826554230164342,60.92438327
10.0,0.2,10.0,0.0113625894889618,60.98906349
10.0,0.2,10.0,0.00599693804789678,60.648588534
10.0,0.2,10.0,0.01016429342123569,60.787678762
10.0,0.2,10.0,0.00628044733010476,60.662121727
1.0,0.5,10.0,0.004803719595475961,60.788181492
1.0,0.5,10.0,0.0182011485874069,60.808083368
1.0,0.5,10.0,0.006923536900954522,60.82183249
1.0,0.5,10.0,0.012804014946479383,60.821900048
1.0,0.5,10.0,0.014053855355890665,60.809639993
2.0,0.5,10.0,0.015519371924463992,62.346047133
2.0,0.5,10.0,0.014348494039156983,62.133976992
2.0,0.5,10.0,0.024640289213683886,62.315266044
2.0,0.5,10.0,0.015899054668694186,62.154087827
2.0,0.5,10.0,0.009669017263615767,62.335594987
5.0,0.5,10.0,0.04052336796828229,61.056514467
5.0,0.5,10.0,0.03090881038427669,61.079119662
5.0,0.5,10.0,0.04245903142587284,61.256278052
5.0,0.5,10.0,0.028720053756456393,61.092601865
5.0,0.5,10.0,0.05495218704665663,61.108532552
10.0,0.5,10.0,4.8018731772876935,61.117218107
10.0,0.5,10.0,0.6077009900253107,60.994319292
10.0,0.5,10.0,0.0029248864563398745,61.034910921
10.0,0.5,10.0,605670.1827770716,61.089938699
10.0,0.5,10.0,0.01550262791582023,61.00397922
1.0,0.1,10.0,0.0032903886541932902,61.824863478
1.0,0.1,10.0,0.005571611874047617,61.707636923
1.0,0.1,10.0,0.0030428111301068084,61.950646322
1.0,0.1,10.0,0.011988512227095195,61.799420036
1.0,0.1,10.0,0.007185809883164259,61.966340956
2.0,0.1,10.0,0.009073235867256299,63.309212048
2.0,0.1,10.0,0.016472709964783682,63.408935677
2.0,0.1,10.0,0.009300656355556249,63.279530014
2.0,0.1,10.0,0.007949798396340918,63.399736028
2.0,0.1,10.0,0.015302909788974112,63.272699882
5.0,0.1,10.0,0.031164093770193694,62.469160198
