T,U,M,d,K,L,u,time simu,ref_value
0.2,1.0,1.0,5.0,5.0,1.0,16.29369016034425,0.000999636,16.801557337972937
0.2,1.0,1.0,5.0,5.0,1.0,17.26990894717685,0.000560428,16.801557337972937
0.2,1.0,1.0,5.0,5.0,1.0,15.916707730539251,0.000541028,16.801557337972937
0.2,1.0,1.0,5.0,5.0,1.0,16.767351338585453,0.003950984,16.801557337972937
0.2,1.0,1.0,5.0,5.0,1.0,16.49590461524274,0.003758415,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,16.56085176387654,0.000481758,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,17.29495365824425,0.003890405,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,16.58302764718145,0.003694026,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,16.240612867006753,0.003714765,16.801557337972937
0.2,1.0,2.0,5.0,5.0,2.0,17.22773365276606,0.003709965,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,17.658833218203405,0.003633836,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,16.348146829353276,0.003771435,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,16.374685463547774,0.003636176,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,16.297472452269922,0.003601285,16.801557337972937
0.2,1.0,3.0,5.0,5.0,3.0,16.224267255465023,0.003651505,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.730519174449142,0.128452697,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.562941059371067,0.254384464,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.59910065244925,0.265015981,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.75213692752596,0.245968097,16.801557337972937
0.2,1.0,4.0,5.0,5.0,4.0,16.888221848246133,0.243789026,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.821135976047906,19.18097838,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.76672687768511,18.231338699,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.799118060061577,18.805482183,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.784964987753042,21.266605896,16.801557337972937
0.2,1.0,5.0,5.0,5.0,5.0,16.837774272633823,19.140300606,16.801557337972937
