T,N,d,batch_size,K,u,time simu,ref_value
0.2,1.0,5.0,1000.0,3.0,0.0,115.929074573,16.801556694196968
0.2,1.0,5.0,1000.0,3.0,0.0,2.152867477,16.801556694196968
0.2,1.0,5.0,1000.0,3.0,0.0,2.097565711,16.801556694196968
0.2,1.0,5.0,1000.0,3.0,0.0,2.196056706,16.801556694196968
0.2,1.0,5.0,1000.0,3.0,0.0,2.101269512,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.40301513671875,6.435445306,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.433813095092773,4.929611715,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.363712310791016,4.857856224,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.373260498046875,4.896208905,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.353111267089844,5.026220784,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.36408233642578,7.629289773,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.384723663330078,7.657177908,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.361291885375977,7.804538224,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.352941513061523,7.65472557,16.801556694196968
0.2,3.0,5.0,1000.0,3.0,16.38553810119629,7.685767756,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.423709869384766,10.456004972,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.360065460205078,10.486996922,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.355430603027344,10.492352861,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.399812698364258,10.513109343,16.801556694196968
0.2,4.0,5.0,1000.0,3.0,16.36109161376953,10.520065642,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.403972625732422,13.363632182,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.329875946044922,13.381528622,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.43366241455078,13.429860538,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.366783142089844,13.59263053,16.801556694196968
0.2,5.0,5.0,1000.0,3.0,16.373659133911133,13.438640106,16.801556694196968
