d,T,N,L1,time_simu
1.0,0.1,10.0,0.011280321121253972,58.545558556
1.0,0.1,10.0,0.009744629556125147,58.808827076
1.0,0.1,10.0,0.00670575797098968,58.929394515
1.0,0.1,10.0,0.010193219832970071,59.033381938
1.0,0.1,10.0,0.0117120237717155,59.161826423
2.0,0.1,10.0,0.018302263218442187,61.513722605
2.0,0.1,10.0,0.02166075993338764,61.398066224
2.0,0.1,10.0,0.016994033805337466,61.421913814
2.0,0.1,10.0,0.007893051726729177,61.512597466
2.0,0.1,10.0,0.012643639386329602,61.707965
5.0,0.1,10.0,0.08365373893099497,61.017404289
5.0,0.1,10.0,0.07843498438086821,61.960948335
5.0,0.1,10.0,0.1148113115569773,60.824182205
5.0,0.1,10.0,0.07780798316852368,60.606345999
5.0,0.1,10.0,0.08150429726711404,60.558868292
10.0,0.1,10.0,0.43374991968027354,61.07980066
10.0,0.1,10.0,0.4868904818228309,61.047844833
10.0,0.1,10.0,0.44963950520168355,60.966874223
10.0,0.1,10.0,0.4084440723298743,61.226362884
10.0,0.1,10.0,0.3853975333878264,61.156791775
1.0,0.2,10.0,0.008342326387163935,60.153881251
1.0,0.2,10.0,0.007867687078133003,60.215682422
1.0,0.2,10.0,0.005051460062726988,60.163024181
1.0,0.2,10.0,0.017205671782264988,60.250199287
1.0,0.2,10.0,0.011577624525454223,60.17540695
2.0,0.2,10.0,0.021233131185832723,62.231906868
2.0,0.2,10.0,0.00931979272340424,62.227484975
2.0,0.2,10.0,0.009814549078850652,62.323696325
2.0,0.2,10.0,0.018287506673004446,62.858729533
2.0,0.2,10.0,0.014457720561555547,63.17150896
5.0,0.2,10.0,0.06966763619240063,61.361349984
5.0,0.2,10.0,0.0776783694740118,61.393904564
5.0,0.2,10.0,0.07117777204750445,61.347571977
5.0,0.2,10.0,0.08279309393352285,61.238655012
5.0,0.2,10.0,0.07871182469994695,61.294963014
10.0,0.2,10.0,0.3949083699123249,61.603908411
